"Year","Month","Day","00:00","00:30","01:00","01:30","02:00","02:30","03:00","03:30","04:00","04:30","05:00","05:30","06:00","06:30","07:00","07:30","08:00","08:30","09:00","09:30","10:00","10:30","11:00","11:30","12:00","12:30","13:00","13:30","14:00","14:30","15:00","15:30","16:00","16:30","17:00","17:30","18:00","18:30","19:00","19:30","20:00","20:30","21:00","21:30","22:00","22:30","23:00","23:30"
2020,2,29,5391.03163974071,5262.65023985294,5172.96661031279,5110.32696805288,5061.60404061521,5052.63694896197,5015.56662722078,5040.40503421613,5018.68975043585,5028.29673117211,5101.50959216339,5159.1620163238,5242.32308090185,5312.29187015289,5391.37099430395,5483.69318323148,5478.22331356611,5471.23085045121,5445.92103346354,5417.68009554996,5253.60153988255,5241.72889257484,5110.57808710515,5028.35104282446,5009.24099864972,5055.93810384347,5098.1238924149,5209.38960624059,5274.28499606596,5340.29892708929,5451.28172196214,5577.33833810452,5708.67093099371,5907.731004317,6086.86172600511,6236.4752309117,6361.21598705481,6500.92331426473,6471.29668414671,6398.83065176642,6259.30095099851,6126.72902612907,5977.72713325233,5875.85599132699,5837.24352105001,5782.30724104322,5606.36949108182,5435.89212705953
2020,3,1,5278.64834101208,5174.30340605109,5087.20793180616,5015.39400770697,4964.81340517292,4935.05720826075,4939.09522704281,4938.99581651428,4917.97718796685,4934.36474354536,4985.03229861762,4987.83110365231,4933.27892560268,4750.72303817115,4805.9211173277,5103.17375869059,5200.90032689824,5260.43755902273,5229.7229527777,5089.79137462558,5083.51074766228,5073.71774006141,5107.30952688951,5121.12189550536,4991.18826367886,4921.89162580616,4975.41402372392,5088.3951415432,5120.81953393028,5264.01079438271,5394.61327063605,5568.83537057808,5794.39204470991,6055.7714114695,6259.60276484284,6433.59389218978,6603.35675389531,6765.38297865496,6710.11672559669,6587.30806740381,6448.96842510472,6252.02348171367,6130.75334736206,6005.96966527789,5887.24346614765,5785.32846161669,5596.49636669276,5402.95826401214
2020,3,2,5269.59613688304,5166.56284159916,5099.01509055541,5024.12521003165,4997.73793778485,4975.77586773861,4979.22307552496,4999.54245328971,5034.56005452884,5131.21757699534,5307.36346945146,5477.84729981819,5767.92838054262,5942.77546221387,6107.77130529315,6089.75438201111,6061.15947904178,6005.4552740387,6019.83473756989,5903.730772599,5929.29414747345,5890.31104382725,5849.07129538276,5827.59112274771,5772.41275433893,5776.68795740923,5771.13836472224,5811.14258540478,5846.31609563052,5904.55207475175,6034.51003615267,6271.69260751218,6540.5758898794,6738.96760964211,6872.91584397624,6961.95254423578,7066.0529975358,7240.19470958465,7192.64254197563,7064.58944413377,6890.24280385343,6647.62589561058,6520.81789608635,6354.0927186472,6200.38787034945,6083.50737541467,5836.77713411489,5605.85879960396
2020,3,3,5444.44707134769,5334.39810963635,5215.82526003841,5169.05588111,5122.43182145707,5091.95105991127,5099.12193277682,5113.05316962303,5178.12120195038,5234.05610734936,5411.37364113903,5565.01962560861,5874.25593014872,6030.43103522035,6180.70351720339,6165.23138829264,6069.49174324755,6022.70317814147,5947.19076647021,5879.00978503815,5862.43345226953,5839.21008922518,5823.66373592488,5924.90102703147,5950.85756001578,5905.99504866023,6005.43583040732,6095.55717575545,6251.62900079673,6341.41296025451,6442.91369788785,6668.55348979999,6894.93529641864,7019.40595106513,7105.97313855588,7165.4661441771,7250.27744226092,7438.06520939128,7398.59146070916,7285.40341608813,7139.56427407291,6915.58161282878,6754.01635922093,6543.56358465792,6395.3046690688,6226.30046619061,6003.07093027381,5781.26935505004
2020,3,4,5616.87982780013,5511.7947778199,5401.58108665121,5343.59118462109,5261.47254649462,5236.57760892121,5281.98680523027,5260.50653990432,5304.07267821252,5384.03409869026,5576.37753160521,5704.27825296585,5984.33636589231,6180.01461846729,6327.62941315742,6364.08468948629,6338.83366802734,6288.87394478016,6238.92044312471,6164.53756480425,6208.66347660637,6267.16089132723,6218.75704215372,6216.65414145285,6280.4725100809,6368.41458634216,6504.76477317262,6550.59533360573,6718.47558215074,6840.0531724714,6994.14639973098,7242.72176663473,7482.52705835664,7657.07839260753,7721.14892156823,7742.75111082775,7770.33384969734,7939.31812905159,7875.79739802029,7748.72319671865,7558.52618426062,7320.45303235262,7146.34421102406,6897.13238944307,6657.34924739707,6480.18890729718,6205.76579447501,5964.13579562392
2020,3,5,5779.0706530756,5627.7725941859,5534.10129449938,5455.4982816986,5394.89172415918,5384.68288219251,5324.71380486043,5313.65963940598,5328.51263314969,5386.23856285838,5546.31933179097,5710.73167336437,5960.59399567526,6199.79673473836,6362.13454316405,6408.71470388844,6380.15729576313,6400.96781946201,6349.69815929187,6276.21711552522,6265.33634752401,6354.81698658976,6419.2571805028,6377.97594988208,6353.43542501604,6436.29659394266,6609.81139180545,6660.0628311389,6796.52266767878,6923.82877264462,7050.05236120007,7250.22114151906,7477.12601156878,7677.19445771881,7722.97718761628,7756.28710033287,7804.52177916651,7940.62593210539,7848.14368623633,7703.56609097451,7531.51851493051,7281.96744820701,7042.38980256292,6768.01841429829,6555.81171070242,6390.3989961075,6105.0797154911,5863.83702769726
2020,3,6,5700.92977127053,5562.99469360163,5453.79039987755,5387.14751282409,5379.28331199284,5335.56239170525,5346.71377139863,5337.89437042994,5372.73946607516,5432.59964886767,5595.76576799732,5774.18892040036,6037.57727561662,6231.04955706759,6409.13368642009,6489.62987604143,6458.69012442129,6417.01126631445,6368.90277946224,6289.1491367522,6247.9633962585,6258.90593996923,6211.7924288476,6228.35967579885,6201.27471249511,6198.24264977877,6319.94987152437,6430.76286410695,6452.87244249562,6486.30781045263,6584.28531592457,6767.73898360907,6929.2993177711,7098.24895625656,7160.16183933605,7143.72886427315,7166.68502647175,7292.6374235219,7219.21499535327,7083.32750559689,6953.7532627137,6754.8390007014,6636.86460798347,6464.98874827863,6333.4784524193,6242.7345675489,5995.68108917635,5758.26426079674
2020,3,7,5604.33008922328,5481.06067250308,5407.33075991472,5301.32042817986,5255.86596872824,5227.58320967496,5229.72146172836,5187.15890145143,5210.92662902276,5225.1106239632,5298.54076451831,5338.8497923361,5405.39735504756,5446.79833148358,5512.44926969407,5530.57194426991,5535.62896782774,5527.58630838667,5506.46418378898,5504.48857725974,5494.51342823447,5481.3617445824,5422.65890572197,5406.23851692282,5426.16871905042,5487.07223999382,5584.89549883767,5694.19043295497,5826.91327422871,6018.58252357215,6233.0680139622,6469.79109081475,6726.65612871721,6988.25176159455,7111.39416103978,7182.97124143099,7239.17184191679,7364.30982161921,7304.10951999958,7139.65153385027,7008.74768482136,6817.43792759563,6634.8277780755,6449.5767023163,6329.32022747793,6156.99448297398,5938.35430641161,5703.36220596931
2020,3,8,5536.25939439844,5407.61251661347,5327.06007163222,5221.45022250171,5177.91075621304,5144.60001232355,5133.20339848657,5114.17556524506,5109.58840428383,5083.36953722801,5122.93459138319,5135.88588784745,5127.11321272324,5105.91745782635,5161.18259638585,5155.38533584879,5185.57749491739,5247.47177342086,5259.67067808016,5258.77808142777,5295.31733169293,5231.30728043668,5239.94649947322,5300.07929205127,5424.0195022239,5586.5400670282,5824.71769695625,5999.15395021868,6214.76916797556,6391.250876909,6616.5152326117,6894.11339248274,7108.10983048902,7336.38555935865,7521.45763484594,7592.95785093452,7668.22482848327,7772.99668780445,7664.4064568624,7519.21073329585,7303.88173550082,7051.39259459606,6885.26745693179,6677.77257757904,6514.08286474278,6379.16868628307,6092.10482621533,5863.18432235331
2020,3,9,5676.15008581296,5558.9839593178,5474.94605712816,5404.02868764392,5355.80724229223,5309.84878244957,5279.09699912044,5301.50568826286,5328.27725372707,5385.61366200296,5557.84010178477,5714.01561830301,6025.53434228191,6279.0845679077,6514.99177629313,6539.84473594104,6515.89760477628,6509.24960090102,6536.15360642016,6567.89768685339,6626.76075567813,6716.82015605128,6820.40675652352,6983.67085427429,7137.24424928366,7319.94551969514,7569.50896389677,7979.85199326105,8106.2578590367,8115.61836725526,8159.83703215211,8163.8430669826,8197.08136251915,8282.33625196676,8311.53965172974,8266.89830935143,8292.06114766491,8388.56845981937,8228.59080292465,8038.23294567531,7767.9581869886,7470.8107401355,7239.92023502064,6979.71554507694,6765.98228598893,6530.06207972578,6246.51125292312,6009.08443750543
2020,3,10,5812.28734879024,5670.34863044149,5566.76559775332,5484.80634774466,5424.00395938389,5395.84663011349,5368.91699263503,5353.0103549927,5396.85479254279,5468.1499124859,5645.17721528249,5828.25111493171,6091.19096728514,6349.56886140606,6567.29769250682,6574.34430187874,6483.44833271457,6382.38589568851,6296.14687727916,6273.31209589124,6396.57480203215,6520.31666430667,6625.70996701933,6798.92806573244,7089.41832216151,7332.13325356167,7554.35481033586,7735.82904021951,7841.84725659415,7970.09837481999,8213.67791331653,8373.67278692162,8484.71571158446,8679.54588238353,8759.39961730621,8719.55767533082,8677.87014767962,8755.22837063515,8610.40368497727,8388.3768309139,8270.11126755565,8037.4460435746,7616.60587263726,7319.34258906023,6854.15147919812,6624.86931850855,6408.01303773334,6159.6293552315
2020,3,11,6017.05915221881,5959.81260660932,5781.12885776669,5621.01883508626,5519.8400494504,5462.41111341007,5437.09835133646,5423.49457341443,5453.47405820881,5499.15336240743,5666.14663673039,5819.45040554788,6077.30823913289,6297.24527395157,6494.78858085801,6544.12043553335,6497.62054409199,6467.42404590203,6465.46140063068,6474.07994964339,6513.72963408319,6583.07291318231,6664.15636054205,6768.29477849898,6870.24085882712,6979.59560181475,7116.65629518582,7287.5952317213,7410.18628889731,7535.2902639347,7745.59306863809,7975.98878224243,8169.99577741303,8328.53651381079,8365.59550218651,8307.90764336608,8234.46674697737,8311.99292776527,8212.49433962949,8027.26079822832,7806.845800449,7539.49963175328,7296.26408639039,7067.82434240738,6847.73456151417,6640.42706503971,6340.39849223639,6070.22727535695
2020,3,12,5918.95468018106,5798.32000921102,5714.57424878254,5616.94550579989,5557.85130276462,5526.05273176374,5494.23644672704,5487.56862506833,5523.28075185647,5590.02362822717,5776.67073618472,5874.3108999269,6141.46916901274,6320.01134966506,6514.71973994032,6524.40928901114,6595.94600997455,6583.62113464117,6596.09598810917,6542.3231246954,6512.44814086645,6525.99012922444,6638.48637532671,6757.56913358977,6794.46675335656,6902.24506614255,7057.69706490972,7187.83405088412,7340.38062441455,7385.44427361496,7437.68820398305,7694.57633637587,7846.86195233199,7963.91596198709,7938.07170327524,7969.43675435611,8054.38525885607,8209.78177134917,8132.17759957133,7991.22438254714,7808.98857624974,7476.18175133985,7197.63617931121,6869.15565108749,6594.93466593842,6389.10463935345,6122.76385861926,5867.5518003927
2020,3,13,5695.11897611917,5590.29564464311,5496.71351853201,5411.06229372368,5365.15224755354,5334.22208069141,5320.82862186546,5330.24007138865,5367.46736995805,5445.78859853974,5588.40151112636,5728.48751685108,5959.93942024092,6167.47783192828,6315.00287448556,6306.42218074965,6266.3346891269,6235.36550573004,6227.89894395688,6241.5218027521,6267.45883838394,6323.51551302228,6388.51700509241,6587.18303271041,6786.14903760002,6970.84302352904,7137.46740029281,7456.51929839545,7730.61711369349,7813.57677411947,7825.30999355338,7867.70320399786,7831.47768236726,7637.97449027064,7464.29588118867,7299.25932068352,7209.93212177929,7175.42093317768,7042.62370632621,6942.10098297606,6763.16514361833,6523.28066551272,6289.09511546686,6108.71589423141,5977.81848992202,5869.19222621586,5636.73082979071,5414.4432667791
